SEQ	,Bola1	,Bola2	,Bola3	,Bola4	,Bola5	,Bola6	,Bola7	,Bola8	,Bola9	,Bola10	,Bola11	,Bola12	,Bola13	,Bola14	,Bola15	
1	,01	,02	,04	,06	,07	,09	,10	,11	,12	,13	,14	,15	,16	,20	,21	
2	,03	,05	,08	,10	,11	,12	,14	,15	,16	,17	,21	,22	,23	,24	,25	
3	,01	,03	,05	,06	,07	,09	,12	,13	,14	,15	,18	,20	,21	,23	,25	
4	,01	,02	,03	,04	,06	,09	,10	,11	,13	,15	,17	,18	,21	,23	,25	
5	,02	,03	,04	,07	,08	,11	,13	,14	,15	,16	,18	,19	,20	,21	,24	
6	,01	,03	,04	,06	,09	,11	,16	,17	,18	,19	,20	,21	,23	,24	,25	
7	,02	,04	,06	,07	,08	,09	,11	,12	,13	,14	,15	,20	,21	,22	,25	
8	,01	,02	,03	,04	,05	,07	,08	,09	,10	,12	,13	,15	,17	,20	,22	
9	,01	,02	,03	,04	,06	,08	,09	,10	,13	,17	,18	,20	,22	,24	,25	
10	,02	,03	,04	,05	,06	,07	,08	,11	,13	,17	,18	,20	,22	,23	,24	
11	,01	,03	,05	,06	,08	,09	,10	,11	,15	,18	,20	,22	,23	,24	,25	
12	,02	,05	,07	,08	,09	,10	,11	,12	,13	,17	,18	,20	,21	,23	,25	
13	,01	,03	,04	,06	,07	,08	,09	,12	,14	,15	,16	,17	,18	,19	,21	
14	,01	,02	,03	,08	,09	,10	,12	,13	,14	,16	,18	,20	,22	,23	,25	
15	,02	,04	,06	,07	,09	,10	,13	,15	,16	,17	,19	,20	,21	,22	,24	
16	,01	,02	,05	,06	,09	,10	,11	,12	,13	,14	,17	,20	,21	,22	,23	
17	,01	,02	,03	,04	,06	,10	,11	,12	,13	,14	,18	,22	,23	,24	,25	
18	,01	,02	,03	,04	,08	,09	,10	,11	,12	,19	,21	,22	,23	,24	,25	
19	,01	,02	,03	,04	,08	,09	,10	,13	,14	,16	,17	,18	,20	,22	,23	
20	,02	,04	,05	,08	,10	,13	,14	,16	,17	,19	,21	,22	,23	,24	,25	
21	,01	,02	,03	,04	,05	,06	,08	,11	,14	,16	,17	,18	,20	,21	,25	
22	,01	,02	,04	,05	,06	,08	,10	,11	,15	,16	,17	,20	,22	,23	,24	
23	,03	,04	,05	,06	,08	,10	,11	,12	,13	,15	,17	,19	,20	,22	,24	
24	,04	,05	,06	,07	,09	,11	,12	,13	,14	,20	,21	,22	,23	,24	,25	
25	,04	,05	,06	,07	,08	,09	,10	,12	,13	,16	,17	,19	,23	,24	,25	
26	,02	,03	,04	,07	,09	,10	,12	,15	,16	,18	,19	,20	,21	,22	,24	
27	,02	,04	,07	,08	,09	,10	,11	,12	,13	,15	,17	,19	,21	,22	,24	
28	,01	,03	,04	,05	,06	,07	,08	,10	,11	,12	,13	,17	,20	,21	,22	
29	,01	,04	,05	,07	,09	,11	,12	,13	,15	,18	,19	,20	,21	,22	,25	
30	,01	,02	,06	,07	,08	,09	,10	,12	,14	,15	,17	,19	,21	,22	,25	
31	,01	,02	,04	,06	,07	,08	,10	,11	,12	,13	,14	,18	,19	,20	,23	
