SEQ	,Bola1	,Bola2	,Bola3	,Bola4	,Bola5	,Bola6	
1	,24	,41	,43	,49	,55	,60	
2	,07	,10	,35	,36	,40	,43	
3	,28	,41	,47	,49	,55	,56	
4	,03	,09	,10	,12	,15	,28	
5	,04	,15	,28	,38	,45	,50	
6	,05	,10	,17	,29	,37	,53	
7	,14	,17	,36	,48	,53	,54	
8	,03	,11	,28	,43	,52	,53	
9	,03	,09	,33	,37	,43	,57	
10	,04	,18	,39	,44	,46	,60	
11	,01	,11	,21	,22	,41	,51	
12	,08	,20	,23	,34	,46	,52	
13	,16	,37	,50	,54	,56	,57	
14	,10	,18	,44	,53	,54	,59	
15	,05	,17	,20	,43	,48	,55	
16	,05	,09	,10	,12	,19	,46	
17	,01	,02	,22	,31	,44	,46	
18	,14	,25	,30	,39	,50	,52	
19	,09	,16	,21	,38	,39	,48	
20	,25	,32	,37	,43	,48	,52	
21	,01	,16	,32	,37	,49	,54	
22	,22	,26	,35	,36	,43	,60	
23	,16	,21	,24	,38	,46	,51	
24	,01	,07	,24	,27	,55	,58	
25	,12	,15	,22	,28	,39	,55	
26	,07	,11	,12	,25	,34	,41	
27	,03	,16	,31	,36	,48	,57	
28	,14	,24	,26	,36	,43	,52	
29	,04	,08	,12	,36	,40	,53	
30	,04	,14	,38	,47	,54	,55	
31	,14	,33	,34	,46	,52	,55	
32	,09	,13	,31	,39	,54	,60	
33	,12	,16	,27	,29	,43	,52	
34	,16	,25	,31	,38	,41	,44	
35	,19	,26	,42	,43	,51	,53	
36	,31	,41	,49	,56	,58	,60	
37	,02	,05	,19	,21	,54	,56	
38	,01	,16	,47	,48	,53	,59	
39	,05	,26	,36	,43	,52	,57	
40	,18	,38	,42	,47	,48	,51	
41	,06	,14	,39	,41	,43	,54	
42	,22	,27	,30	,36	,49	,59	
43	,06	,28	,39	,40	,50	,56	
44	,39	,42	,46	,48	,49	,50	
45	,10	,15	,16	,17	,35	,55	
46	,01	,14	,23	,26	,41	,51	
47	,08	,10	,17	,28	,41	,60	
48	,02	,15	,18	,19	,24	,60	
49	,10	,50	,51	,52	,54	,59	
50	,09	,14	,27	,30	,39	,47	
51	,05	,06	,46	,53	,54	,59	
52	,08	,23	,44	,48	,52	,60	
53	,06	,36	,39	,43	,53	,56	
54	,16	,20	,25	,32	,51	,60	
55	,22	,23	,28	,37	,52	,56	
56	,25	,35	,41	,52	,53	,54	
57	,01	,16	,23	,28	,56	,59	
58	,18	,21	,25	,55	,57	,59	
59	,23	,28	,32	,37	,40	,44	
60	,01	,28	,29	,49	,52	,53	
61	,11	,27	,28	,52	,54	,58	
62	,04	,05	,09	,43	,44	,54	
63	,05	,09	,33	,37	,45	,48	
64	,07	,14	,19	,30	,39	,57	
65	,15	,22	,33	,36	,44	,60	
66	,06	,07	,08	,09	,41	,50	
67	,22	,28	,41	,48	,53	,56	
68	,30	,34	,37	,41	,47	,52	
69	,13	,15	,27	,29	,43	,57	
70	,02	,33	,46	,49	,51	,57	
71	,03	,07	,15	,18	,42	,56	
72	,06	,07	,17	,42	,46	,56	
73	,13	,23	,29	,35	,39	,55	
74	,03	,08	,24	,33	,52	,55	
75	,11	,19	,21	,37	,38	,53	
76	,15	,42	,43	,45	,54	,59	
77	,01	,17	,28	,32	,49	,52	
78	,04	,26	,31	,32	,39	,50	
79	,19	,44	,50	,51	,59	,60	
80	,01	,26	,40	,51	,57	,60	
81	,07	,11	,15	,30	,38	,40	
82	,04	,20	,22	,28	,39	,60	
83	,04	,10	,24	,43	,51	,54	
84	,25	,26	,32	,36	,53	,59	
85	,06	,13	,23	,24	,36	,42	
86	,02	,09	,15	,34	,54	,58	
87	,19	,23	,25	,36	,53	,54	
88	,02	,08	,15	,24	,49	,57	
89	,15	,22	,30	,45	,47	,59	
90	,15	,24	,25	,27	,28	,33	
91	,05	,06	,23	,26	,31	,59	
92	,26	,27	,32	,36	,37	,49	
93	,20	,33	,34	,44	,45	,51	
94	,09	,10	,18	,43	,48	,60	
95	,01	,08	,21	,35	,42	,48	
96	,02	,05	,20	,27	,51	,57	
97	,13	,17	,21	,22	,42	,60	
98	,21	,38	,48	,49	,51	,52	
99	,01	,03	,18	,25	,37	,57	
100	,01	,11	,19	,30	,54	,60	
Boa Sorte
