SEQ	,Bola1	,Bola2	,Bola3	,Bola4	,Bola5	
1	,06	,12	,35	,42	,50	
2	,01	,29	,36	,42	,77	
3	,04	,22	,26	,61	,77	
4	,03	,23	,56	,67	,71	
5	,19	,24	,60	,66	,71	
6	,08	,40	,69	,74	,78	
7	,07	,16	,27	,53	,63	
8	,07	,46	,49	,65	,78	
9	,33	,35	,49	,57	,77	
10	,18	,36	,54	,57	,75	
11	,02	,10	,16	,67	,72	
12	,09	,20	,43	,57	,69	
13	,20	,22	,25	,52	,72	
14	,27	,32	,62	,64	,66	
15	,20	,40	,53	,64	,70	
16	,04	,12	,14	,25	,67	
17	,04	,09	,33	,52	,72	
18	,16	,18	,33	,72	,77	
19	,16	,34	,37	,44	,60	
20	,17	,37	,43	,46	,57	
21	,33	,44	,50	,58	,67	
22	,29	,37	,64	,69	,71	
23	,32	,52	,56	,67	,77	
24	,06	,09	,12	,53	,70	
25	,06	,38	,56	,70	,72	
26	,40	,45	,49	,55	,73	
27	,46	,47	,50	,75	,79	
28	,09	,28	,34	,37	,46	
29	,10	,16	,47	,53	,67	
30	,08	,29	,31	,32	,63	
31	,05	,32	,44	,61	,74	
32	,10	,12	,16	,61	,77	
33	,12	,36	,59	,63	,67	
34	,28	,37	,43	,60	,64	
35	,02	,07	,08	,20	,55	
36	,06	,44	,59	,60	,72	
37	,34	,44	,54	,56	,64	
38	,08	,19	,45	,60	,76	
39	,11	,13	,37	,46	,71	
40	,21	,32	,40	,50	,79	
41	,39	,47	,66	,72	,74	
42	,01	,05	,54	,57	,59	
43	,02	,06	,20	,27	,36	
44	,12	,35	,52	,62	,76	
45	,36	,39	,54	,62	,63	
46	,02	,37	,65	,70	,80	
47	,01	,26	,72	,73	,79	
48	,18	,21	,27	,38	,69	
49	,09	,38	,45	,52	,54	
50	,06	,08	,16	,38	,45	
51	,33	,37	,45	,51	,78	
52	,08	,23	,38	,44	,66	
53	,04	,28	,36	,38	,61	
54	,08	,16	,33	,57	,78	
55	,13	,26	,36	,46	,66	
56	,06	,23	,45	,54	,57	
57	,11	,14	,34	,39	,47	
58	,24	,53	,60	,64	,76	
59	,23	,29	,49	,61	,79	
60	,09	,15	,16	,27	,33	
61	,01	,19	,37	,58	,61	
62	,32	,45	,47	,56	,69	
63	,01	,09	,12	,45	,62	
64	,21	,25	,38	,56	,77	
65	,33	,43	,61	,65	,79	
66	,07	,35	,71	,74	,79	
67	,21	,41	,54	,63	,76	
68	,09	,22	,24	,34	,69	
69	,02	,05	,18	,26	,50	
70	,10	,32	,50	,52	,74	
71	,07	,17	,33	,51	,79	
72	,01	,19	,39	,51	,75	
73	,24	,27	,31	,32	,35	
74	,06	,20	,39	,61	,76	
75	,07	,16	,32	,37	,54	
76	,11	,36	,44	,63	,66	
77	,55	,56	,66	,67	,75	
78	,10	,45	,46	,62	,64	
79	,07	,09	,33	,40	,49	
80	,10	,46	,48	,72	,76	
81	,01	,10	,35	,44	,60	
82	,01	,07	,19	,47	,48	
83	,26	,37	,61	,71	,78	
84	,22	,24	,43	,47	,65	
85	,30	,58	,66	,77	,78	
86	,09	,18	,20	,37	,60	
87	,07	,08	,50	,64	,69	
88	,08	,10	,19	,46	,72	
89	,17	,58	,60	,66	,72	
90	,35	,54	,66	,70	,76	
91	,06	,39	,45	,55	,73	
92	,03	,36	,50	,54	,75	
93	,33	,34	,67	,73	,77	
94	,09	,22	,36	,37	,78	
95	,08	,38	,59	,63	,79	
96	,06	,08	,15	,55	,62	
97	,04	,49	,60	,67	,70	
98	,25	,32	,33	,52	,76	
99	,05	,08	,11	,34	,66	
100	,16	,52	,57	,60	,74	
101	,23	,27	,63	,66	,76	
102	,45	,48	,53	,56	,70	
103	,04	,12	,22	,35	,52	
104	,02	,12	,17	,47	,62	
105	,03	,17	,31	,40	,50	
106	,17	,29	,37	,71	,72	
107	,17	,52	,63	,65	,70	
108	,03	,04	,25	,26	,60	
109	,38	,42	,46	,59	,74	
110	,14	,21	,38	,69	,77	
111	,02	,39	,49	,62	,63	
112	,16	,35	,49	,61	,63	
113	,36	,41	,46	,56	,79	
114	,22	,39	,54	,63	,65	
115	,28	,34	,41	,57	,74	
116	,03	,04	,11	,23	,77	
117	,09	,22	,48	,59	,62	
118	,02	,40	,51	,71	,80	
119	,11	,17	,27	,47	,62	
120	,18	,20	,47	,51	,58	
121	,29	,42	,47	,59	,60	
122	,01	,37	,45	,48	,78	
123	,15	,33	,47	,60	,63	
124	,03	,17	,34	,40	,78	
125	,06	,15	,28	,31	,72	
126	,19	,44	,52	,69	,80	
127	,13	,21	,42	,49	,52	
128	,27	,30	,43	,57	,58	
129	,33	,35	,41	,53	,58	
130	,02	,23	,38	,44	,69	
131	,07	,11	,41	,60	,64	
132	,17	,22	,23	,64	,69	
133	,23	,32	,49	,57	,72	
134	,11	,23	,40	,60	,80	
135	,29	,33	,55	,64	,69	
136	,09	,26	,33	,44	,56	
137	,20	,26	,31	,57	,76	
138	,26	,55	,63	,67	,71	
139	,02	,38	,45	,60	,64	
140	,03	,22	,36	,66	,69	
141	,30	,45	,66	,69	,70	
142	,33	,37	,41	,71	,77	
143	,29	,46	,48	,50	,64	
144	,02	,48	,58	,59	,79	
145	,26	,40	,50	,64	,70	
146	,30	,58	,59	,62	,66	
147	,02	,27	,57	,70	,80	
148	,09	,19	,46	,64	,73	
149	,03	,27	,34	,46	,53	
150	,23	,29	,30	,35	,56	
151	,19	,24	,30	,43	,65	
152	,09	,12	,34	,62	,78	
153	,26	,29	,49	,54	,68	
154	,46	,52	,60	,72	,78	
155	,06	,15	,22	,39	,76	
156	,05	,52	,69	,74	,77	
157	,09	,32	,33	,55	,63	
158	,51	,53	,64	,65	,72	
159	,05	,19	,26	,71	,77	
160	,25	,34	,35	,45	,59	
161	,48	,60	,68	,71	,76	
162	,28	,46	,49	,54	,70	
163	,15	,20	,34	,52	,62	
164	,01	,02	,23	,58	,79	
165	,09	,21	,23	,50	,64	
166	,07	,13	,15	,49	,53	
167	,14	,28	,33	,34	,55	
168	,32	,43	,52	,57	,69	
169	,35	,44	,66	,67	,76	
170	,13	,30	,35	,55	,58	
171	,23	,28	,36	,50	,64	
172	,02	,31	,36	,57	,66	
173	,11	,33	,57	,64	,66	
174	,05	,15	,21	,40	,74	
175	,06	,18	,32	,54	,57	
176	,20	,27	,61	,63	,73	
177	,16	,36	,43	,53	,64	
178	,52	,56	,66	,78	,80	
179	,31	,32	,34	,38	,66	
180	,06	,18	,42	,54	,70	
181	,01	,28	,39	,47	,65	
182	,17	,22	,34	,36	,78	
183	,07	,27	,41	,63	,75	
184	,10	,23	,25	,27	,33	
185	,02	,41	,49	,64	,69	
186	,02	,06	,16	,32	,73	
187	,25	,30	,62	,65	,77	
188	,19	,55	,69	,72	,79	
189	,40	,65	,66	,72	,76	
190	,09	,10	,46	,65	,71	
191	,07	,33	,37	,42	,56	
192	,25	,49	,52	,56	,75	
193	,07	,24	,26	,61	,74	
194	,30	,64	,67	,68	,75	
195	,08	,40	,43	,47	,53	
196	,01	,15	,24	,32	,61	
197	,21	,28	,35	,79	,80	
198	,15	,18	,39	,52	,59	
199	,02	,08	,19	,31	,79	
200	,02	,33	,39	,41	,77	
201	,01	,06	,09	,52	,68	
202	,28	,49	,53	,76	,77	
203	,20	,25	,30	,32	,44	
204	,07	,08	,17	,38	,64	
205	,21	,22	,26	,46	,77	
206	,02	,07	,45	,47	,59	
207	,06	,11	,47	,57	,79	
208	,12	,18	,52	,55	,56	
209	,27	,33	,40	,41	,79	
210	,21	,55	,61	,66	,67	
211	,02	,31	,46	,47	,69	
212	,32	,39	,66	,74	,80	
213	,06	,26	,34	,60	,74	
214	,07	,18	,37	,51	,65	
215	,04	,20	,26	,49	,62	
216	,06	,18	,31	,35	,37	
Boa Sorte
